DATE,GS10
1954-01-01,2.51
1955-01-01,2.96
1956-01-01,3.59
1957-01-01,3.21
1958-01-01,3.86
1959-01-01,4.69
1960-01-01,3.84
1961-01-01,4.06
1962-01-01,3.86
1963-01-01,4.13
1964-01-01,4.18
1965-01-01,4.62
1966-01-01,4.84
1967-01-01,5.70
1968-01-01,6.03
1969-01-01,7.65
1970-01-01,6.39
1971-01-01,5.93
1972-01-01,6.36
1973-01-01,6.74
1974-01-01,7.43
1975-01-01,8.00
1976-01-01,6.87
1977-01-01,7.69
1978-01-01,9.01
1979-01-01,10.39
1980-01-01,12.84
1981-01-01,13.72
1982-01-01,10.54
1983-01-01,11.83
1984-01-01,11.50
1985-01-01,9.26
1986-01-01,7.11
1987-01-01,8.99
1988-01-01,9.11
1989-01-01,7.84
1990-01-01,8.08
1991-01-01,7.09
1992-01-01,6.77
1993-01-01,5.77
1994-01-01,7.81
1995-01-01,5.71
1996-01-01,6.30
1997-01-01,5.81
1998-01-01,4.65
1999-01-01,6.28
2000-01-01,5.24
2001-01-01,5.09
2002-01-01,4.03
2003-01-01,4.27
2004-01-01,4.23
2005-01-01,4.47
2006-01-01,4.56
2007-01-01,4.10
2008-01-01,2.42
2009-01-01,3.59
2010-01-01,3.29
2011-01-01,1.98
2012-01-01,1.72
2013-01-01,2.90
2014-01-01,2.21
2015-01-01,2.24
2016-01-01,2.49
2017-01-01,2.40
2018-01-01,2.83
2019-01-01,1.86
2020-01-01,0.93
2021-01-01,.
