Date;G_BP_To_ZM;G_BP_To_6M;G_BP_To_12M;G_ZM_To_6M;G_ZM_To_12M;G_6M_To_12M;G_BY_To_ZY;G_BY_To_1Y;G_BY_To_2Y;G_ZY_To_1Y;G_ZY_To_2Y;G_1Y_To_2Y
1946-06-01;#N/A;10,61;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1946-12-01;#N/A;0,61;-5,45;#N/A;#N/A;-12,97;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1947-06-01;#N/A;-5,80;-6,13;#N/A;#N/A;-6,56;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1947-12-01;#N/A;3,87;0,63;#N/A;#N/A;-3,54;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1948-06-01;#N/A;0,62;-0,15;#N/A;#N/A;-1,17;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1948-12-01;#N/A;-2,24;-3,27;#N/A;#N/A;-4,62;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1949-06-01;#N/A;-5,00;-4,92;#N/A;#N/A;-4,82;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1949-12-01;#N/A;-1,33;-1,78;#N/A;#N/A;-2,38;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1950-06-01;#N/A;1,53;0,36;#N/A;#N/A;-1,18;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1950-12-01;#N/A;4,06;4,25;#N/A;#N/A;4,51;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1951-06-01;#N/A;1,96;2,73;#N/A;#N/A;3,78;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1951-12-01;#N/A;1,28;2,10;#N/A;#N/A;3,20;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1952-06-01;#N/A;0,64;-0,32;#N/A;#N/A;-1,58;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1952-12-01;#N/A;-0,71;-0,85;#N/A;#N/A;-1,05;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1953-06-01;#N/A;-0,87;-1,40;#N/A;#N/A;-2,11;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1953-12-01;#N/A;-1,81;-1,04;#N/A;#N/A;0,00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1954-06-01;#N/A;-0,78;-0,07;#N/A;#N/A;0,88;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1954-12-01;#N/A;0,66;0,15;#N/A;#N/A;-0,52;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1955-06-01;#N/A;0,39;0,45;#N/A;#N/A;0,52;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1955-12-01;#N/A;0,78;0,52;#N/A;#N/A;0,17;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1956-06-01;#N/A;0,13;0,52;#N/A;#N/A;1,05;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1956-12-01;#N/A;1,66;0,95;#N/A;#N/A;0,00;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1957-06-01;#N/A;0,88;1,22;#N/A;#N/A;1,67;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1957-12-01;#N/A;-0,06;0,64;#N/A;#N/A;1,58;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1958-06-01;#N/A;0,30;0,35;#N/A;#N/A;0,40;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1958-12-01;#N/A;0,36;0,90;#N/A;#N/A;1,62;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1959-06-01;#N/A;0,48;0,76;#N/A;#N/A;1,13;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1959-12-01;#N/A;0,72;1,02;#N/A;#N/A;1,43;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1960-06-01;#N/A;0,36;0,54;#N/A;#N/A;0,79;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1960-12-01;#N/A;0,24;0,61;#N/A;#N/A;1,10;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1961-06-01;#N/A;0,82;1,01;#N/A;#N/A;1,25;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1961-12-01;#N/A;0,99;1,07;#N/A;#N/A;1,16;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1962-06-01;#N/A;1,14;1,06;#N/A;#N/A;0,95;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1962-12-01;#N/A;0,99;1,05;#N/A;#N/A;1,13;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1963-06-01;#N/A;1,13;1,05;#N/A;#N/A;0,94;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1963-12-01;#N/A;0,91;1,04;#N/A;#N/A;1,21;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1964-06-01;#N/A;1,05;1,27;#N/A;#N/A;1,57;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1964-12-01;#N/A;1,25;1,18;#N/A;#N/A;1,10;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1965-06-01;#N/A;0,96;0,94;#N/A;#N/A;0,91;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1965-12-01;#N/A;1,50;1,63;#N/A;#N/A;1,80;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1966-06-01;#N/A;2,01;1,90;#N/A;#N/A;1,76;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1966-12-01;#N/A;1,97;2,24;#N/A;#N/A;2,60;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1967-06-01;#N/A;2,22;2,37;#N/A;#N/A;2,58;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1967-12-01;#N/A;2,56;2,80;#N/A;#N/A;3,12;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1968-06-01;#N/A;3,27;2,92;#N/A;#N/A;2,46;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1968-12-01;#N/A;2,57;2,85;#N/A;#N/A;3,23;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1969-06-01;#N/A;3,10;3,45;#N/A;#N/A;3,91;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1969-12-01;#N/A;3,72;3,42;#N/A;#N/A;3,03;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1970-06-01;#N/A;4,11;3,95;#N/A;#N/A;3,74;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1970-12-01;#N/A;3,62;3,79;#N/A;#N/A;4,02;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1971-06-01;#N/A;3,89;4,12;#N/A;#N/A;4,43;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
