"year","Land.emissions","Total.Emissions.GTCO2.per.year","damages","DF","r"
2015,0.1,0.100000000000001,0.152399999961972,1,0.0509855006
2020,0,3.36009999557518e-06,0.415315999902077,0.779859518657929,0.0498480034
2025,0,2.44499999979553e-06,0.916030999889017,0.611482798199359,0.0487314893
2030,0,-1.64229999910503e-06,1.66019599987521,0.482017385218921,0.0476452771
2035,0,-8.05060000175217e-06,2.65321600011248,0.381936712049353,0.0465931553
2040,0,-1.61246000018878e-05,3.89989700011029,0.30415989837645,0.0455761072
2045,0,-2.53556000018307e-05,5.40394500006869,0.243401753124091,0.0445937738
2050,0,-3.53404000037472e-05,7.16727099984382,0.195698067577588,0.0436452228
2055,0,-4.57521999948085e-05,9.18952399985073,0.158060040793449,0.0427293389
2060,0,-5.63207999988435e-05,11.4683560002504,0.12822246543633,0.0418450095
2065,0,-6.68136000001596e-05,13.9981670002953,0.104459644694984,0.0409912036
2070,0,-7.70341999896118e-05,16.7713169997796,0.0854502319033775,0.0401669989
2075,0,-8.68136999940816e-05,19.7777259995746,0.0701774997105319,0.0393715888
2080,0,-9.60100000071407e-05,23.0053699999644,0.0578553712700036,0.0386042899
2085,0,-0.000104506200003129,26.4405349997787,0.0478732734516136,0.0378645669
2090,0,-0.000112210899999354,30.0683309995975,0.0397548114870622,0.0371520956
2095,0,-0.00011905809999746,33.872884999937,0.0331266449078378,0.0364668952
2100,0,-0.000125006800004712,37.8370600003564,0.0276949302797181,0.0358162067
2105,0,-0.000130045399998835,41.9358090005062,0.0232266602346666,0.0351954054
2110,0,-0.00013408879999588,46.1477069995908,0.0195377742897089,0.0346014144
2115,0,-0.000137107300005823,50.4556079999929,0.0164819938995286,0.034032077
2120,0,-0.000139103500004012,54.8418380003568,0.0139424691529523,0.0334857904
2125,0,-0.000140113200004066,59.2963140002212,0.0118254354884541,0.0329612907
2130,0,-0.000140176599998654,63.8073580000764,0.0100553434319957,0.032457526
2135,0,-0.000139346300002785,68.3666450004239,0.00857108764835851,0.0319735825
2140,0,-0.000137678200005098,72.9645789999722,0.00732306749021351,0.0315086393
2145,0,-0.000135237200005633,77.5973290001275,0.00627088285931842,0.0310619425
2150,0,-0.000132082599996863,82.259983998938,0.00538151931676362,0.0306327896
2155,0,-0.000128273400001433,86.9498849988304,0.00462791236277049,0.0302205192
2160,0,-0.000123865500000875,91.6655070000161,0.0039878071558653,0.029824505
2165,0,-0.000118910699995922,96.4039240011516,0.00344284950806792,0.0294441517
2170,0,-0.000113460199997917,101.168312000937,0.00297785869588247,0.0290788912
2175,0,-0.000107556199999692,105.956547999995,0.00258024376057005,0.0287281784
2180,0,-0.000101241099997651,110.768199999711,0.00223953346655293,0.0283914861
2185,0,-9.45545999968544e-05,115.616593000141,0.00194699660463304,0.0280682959
2190,0,-8.7519099999156e-05,120.495460000711,0.0016953343527727,0.027758084
2195,0,-8.01635000016176e-05,125.407544999234,0.00147843030049007,0.0274602949
