year,loss
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0.011
2012,0.022
2013,0.033
2014,0.044
2015,0.055
2016,0.066
2017,0.077
2018,0.088
2019,0.099
2020,0.11
2021,0.125
2022,0.14
2023,0.155
2024,0.17
2025,0.185
2026,0.2
2027,0.215
2028,0.23
2029,0.245
2030,0.26
2031,0.278
2032,0.296
2033,0.314
2034,0.332
2035,0.35
2036,0.368
2037,0.386
2038,0.404
2039,0.422
2040,0.44
2041,0.457
2042,0.474
2043,0.491
2044,0.508
2045,0.525
2046,0.542
2047,0.559
2048,0.576
2049,0.593
2050,0.61
2051,0.624
2052,0.638
2053,0.652
2054,0.666
2055,0.68
2056,0.694
2057,0.708
2058,0.722
2059,0.736
2060,0.75
2061,0.761
2062,0.772
2063,0.783
2064,0.794
2065,0.805
2066,0.816
2067,0.827
2068,0.838
2069,0.849
2070,0.86
2071,0.869
2072,0.878
2073,0.887
2074,0.896
2075,0.905
2076,0.914
2077,0.923
2078,0.932
2079,0.941
2080,0.95
2081,0.956
2082,0.962
2083,0.968
2084,0.974
2085,0.98
2086,0.986
2087,0.992
2088,0.998
2089,1.004
2090,1.01
2091,1.013
2092,1.016
2093,1.019
2094,1.022
2095,1.025
2096,1.028
2097,1.031
2098,1.034
2099,1.037
2100,1.04
2101,1.04
2102,1.04
2103,1.04
2104,1.04
2105,1.04
2106,1.04
2107,1.04
2108,1.04
2109,1.04
2110,1.04
2111,1.039
2112,1.038
2113,1.037
2114,1.036
2115,1.035
2116,1.034
2117,1.033
2118,1.032
2119,1.031
2120,1.03
2121,1.028
2122,1.026
2123,1.024
2124,1.022
2125,1.02
2126,1.018
2127,1.016
2128,1.014
2129,1.012
2130,1.01
2131,1.007
2132,1.004
2133,1.001
2134,0.998
2135,0.995
2136,0.992
2137,0.989
2138,0.986
2139,0.983
2140,0.98
2141,0.976
2142,0.972
2143,0.968
2144,0.964
2145,0.96
2146,0.956
2147,0.952
2148,0.948
2149,0.944
2150,0.94
2151,0.936
2152,0.932
2153,0.928
2154,0.924
2155,0.92
2156,0.916
2157,0.912
2158,0.908
2159,0.904
2160,0.9
2161,0.895
2162,0.89
2163,0.885
2164,0.88
2165,0.875
2166,0.87
2167,0.865
2168,0.86
2169,0.855
2170,0.85
2171,0.846
2172,0.842
2173,0.838
2174,0.834
2175,0.83
2176,0.826
2177,0.822
2178,0.818
2179,0.814
2180,0.81
2181,0.806
2182,0.802
2183,0.798
2184,0.794
2185,0.79
2186,0.786
2187,0.782
2188,0.778
2189,0.774
2190,0.77
2191,0.766
2192,0.762
2193,0.758
2194,0.754
2195,0.75
2196,0.746
2197,0.742
2198,0.738
2199,0.734
2200,0.73
2201,0.726
2202,0.722
2203,0.718
2204,0.714
2205,0.71
2206,0.706
2207,0.702
2208,0.698
2209,0.694
2210,0.69
2211,0.686
2212,0.682
2213,0.678
2214,0.674
2215,0.67
2216,0.666
2217,0.662
2218,0.658
2219,0.654
2220,0.65
2221,0.647
2222,0.644
2223,0.641
2224,0.638
2225,0.635
2226,0.632
2227,0.629
2228,0.626
2229,0.623
2230,0.62
2231,0.616
2232,0.612
2233,0.608
2234,0.604
2235,0.6
2236,0.596
2237,0.592
2238,0.588
2239,0.584
2240,0.58
2241,0.577
2242,0.574
2243,0.571
2244,0.568
2245,0.565
2246,0.562
2247,0.559
2248,0.556
2249,0.553
2250,0.55
2251,0.547
2252,0.544
2253,0.541
2254,0.538
2255,0.535
2256,0.532
2257,0.529
2258,0.526
2259,0.523
2260,0.52
2261,0.518
2262,0.516
2263,0.514
2264,0.512
2265,0.51
2266,0.508
2267,0.506
2268,0.504
2269,0.502
2270,0.5
2271,0.497
2272,0.494
2273,0.491
2274,0.488
2275,0.485
2276,0.482
2277,0.479
2278,0.476
2279,0.473
2280,0.47
2281,0.468
2282,0.466
2283,0.464
2284,0.462
2285,0.46
2286,0.458
2287,0.456
2288,0.454
2289,0.452
2290,0.45
2291,0.448
2292,0.446
2293,0.444
2294,0.442
2295,0.44
2296,0.438
2297,0.436
2298,0.434
2299,0.432
2300,0.43
2301,0.427
2302,0.424
2303,0.421
2304,0.418
2305,0.415
2306,0.412
2307,0.409
2308,0.406
2309,0.403
2310,0.4
2311,0.399
2312,0.398
2313,0.397
2314,0.396
2315,0.395
2316,0.394
2317,0.393
2318,0.392
2319,0.391
2320,0.39
2321,0.389
2322,0.388
2323,0.387
2324,0.386
2325,0.385
2326,0.384
2327,0.383
2328,0.382
2329,0.381
2330,0.38
2331,0.377
2332,0.374
2333,0.371
2334,0.368
2335,0.365
2336,0.362
2337,0.359
2338,0.356
2339,0.353
2340,0.35
2341,0.349
2342,0.348
2343,0.347
2344,0.346
2345,0.345
2346,0.344
2347,0.343
2348,0.342
2349,0.341
2350,0.34
2351,0.339
2352,0.338
2353,0.337
2354,0.336
2355,0.335
2356,0.334
2357,0.333
2358,0.332
2359,0.331
2360,0.33
2361,0.329
2362,0.328
2363,0.327
2364,0.326
2365,0.325
2366,0.324
2367,0.323
2368,0.322
2369,0.321
2370,0.32
2371,0.318
2372,0.316
2373,0.314
2374,0.312
2375,0.31
2376,0.308
2377,0.306
2378,0.304
2379,0.302
2380,0.3
2381,0.299
2382,0.298
2383,0.297
2384,0.296
2385,0.295
2386,0.294
2387,0.293
2388,0.292
2389,0.291
2390,0.29
2391,0.29
2392,0.29
2393,0.29
2394,0.29
2395,0.29
2396,0.29
2397,0.29
2398,0.29
2399,0.29
2400,0.29
